ProductName;Price;Cartridge or Gauge;Finish;Stock Color;Image
Springfield Semi-Auto Pistol;579.99;9mm;Schwaarz;Schwaarz;photos/guns/1.png
M&P15 Semi-Auto Rifle;799.99;5.56x45mm;Schwaarz;Schwaarz;photos/guns/2.png
Ruger Wrangler Rimfire Revolver;209.99;.22 Long Rifle;Schwaarz Cerakote;Schwaarz;photos/guns/3.png
Crickett Single-Shot Rimfire Rifle;239.99;.22 Long Rifle;Blo;Violett Laminat;photos/guns/4.png
Savage Bolt Rifle in TrueTimber Strata;399.99;.223 Remington;Schwaarz;Tarnung;photos/guns/5.png
